group_type,group_value,policy_family,policy_id,request_count,logical_removed_fraction_weighted,logical_removed_fraction_mean,logical_compression_factor_weighted,newly_dropped_fraction_mean,recovered_keep_fraction_mean,mixed_block_fraction_mean,physical_compression_factor_padded_weighted,physical_compression_factor_padded_mean,score_margin_abs_p50_mean
all,all,margin_aware_block_coalescing,coalesce_B4_m+0.00,45,0.49223941995049897,0.5010212616402826,1.9694321286274548,0.0,0.16802436172911037,0.0003106576505820961,1.9690668008062653,2.006741217589888,1.7982638888888889
all,all,margin_aware_block_coalescing,coalesce_B4_m+0.25,45,0.5321955055264767,0.5395487145853948,2.1376451312752356,0.011228247582696471,0.13970346748820045,0.00027976724342146164,2.137261076829939,2.174644595916899,1.7982638888888889
all,all,margin_aware_block_coalescing,coalesce_B4_m-0.25,45,0.45305298837662444,0.46312100776507326,1.8283306769186518,0.0,0.2069296188777686,0.00034185375089151843,1.827979084425306,1.8650928480458062,1.7982638888888889
all,all,margin_aware_block_coalescing,coalesce_B8_m+0.00,45,0.4174842432014148,0.42883582531062053,1.716691760401199,0.0,0.2421265090390023,0.0007455212797313866,1.7159338616274067,1.752484136726859,1.7982638888888889
all,all,margin_aware_block_coalescing,coalesce_B8_m+0.25,45,0.4572674288348066,0.4675025901491312,1.8425280757576397,0.0059258464900393375,0.208356432233655,0.0006734234104941957,1.841741261827903,1.8797474445716922,1.7982638888888889
all,all,margin_aware_block_coalescing,coalesce_B8_m-0.25,45,0.37808829580222786,0.39024170171609085,1.6079452971381822,0.0,0.28175334569046206,0.0008123639108375215,1.6072114370340975,1.641489383055153,1.7982638888888889
category,reasoning,margin_aware_block_coalescing,coalesce_B4_m+0.00,15,0.49276562852081646,0.49988313447237864,1.9714752316248332,0.0,0.16683191510892376,0.00031407486908435175,1.9711394111234917,2.0008128113507397,1.8020833333333333
category,reasoning,margin_aware_block_coalescing,coalesce_B4_m+0.25,15,0.5314935638080704,0.5373079124818321,2.1344423955583345,0.01086404156775863,0.1393152823285505,0.0002799806555855708,2.1340922664347968,2.1623854880697366,1.8020833333333333
category,reasoning,margin_aware_block_coalescing,coalesce_B4_m-0.25,15,0.45418208156804474,0.46233269884641554,1.8321128094746961,0.0,0.20534593155070635,0.00034653460184637993,1.8317886295566548,1.8612101945734145,1.8020833333333333
category,reasoning,margin_aware_block_coalescing,coalesce_B8_m+0.00,15,0.4209746470538366,0.42980585253169323,1.7270400940336337,0.0,0.23871883407453062,0.0007168398155578931,1.726228954186633,1.7544645320664085,1.8020833333333333
category,reasoning,margin_aware_block_coalescing,coalesce_B8_m+0.25,15,0.4599245680759972,0.46765567074716746,1.8515932051149402,0.005773485610698782,0.2056722835705755,0.0006500616957803831,1.850758070385061,1.8790544442116253,1.8020833333333333
category,reasoning,margin_aware_block_coalescing,coalesce_B8_m-0.25,15,0.3815740963841982,0.3909647924343384,1.6170085925463622,0.0,0.2785682042442115,0.0007822784558785882,1.616220365331421,1.6425240942678168,1.8020833333333333
category,retrieval,margin_aware_block_coalescing,coalesce_B4_m+0.00,15,0.4853030930110642,0.4950448675416467,1.9428910226994944,0.0,0.16806015811003394,0.0003505557463668712,1.942504691049943,1.9821526729382086,1.7885416666666667
category,retrieval,margin_aware_block_coalescing,coalesce_B4_m+0.25,15,0.525778943520128,0.534044287989216,2.108721209941559,0.011381893226074307,0.13942830448766114,0.00031744202239973395,2.1083144130104343,2.147718817675273,1.7885416666666667
category,retrieval,margin_aware_block_coalescing,coalesce_B4_m-0.25,15,0.4457684242474409,0.4569709005758771,1.804299942027225,0.0,0.20712193716029148,0.0003831991723592516,1.8039272486189826,1.8434841026997446,1.7885416666666667
category,retrieval,margin_aware_block_coalescing,coalesce_B8_m+0.00,15,0.4110363380514858,0.4242671156063595,1.6978976201886928,0.0,0.24065669607930318,0.000766616959079636,1.6971319719940212,1.7385944320236857,1.7885416666666667
category,retrieval,margin_aware_block_coalescing,coalesce_B8_m+0.25,15,0.45131025301437516,0.46326799092042276,1.8225235763813155,0.005999910665637266,0.206640647419093,0.000699729288255314,1.8217222395074921,1.8647327599188057,1.7885416666666667
category,retrieval,margin_aware_block_coalescing,coalesce_B8_m-0.25,15,0.3716251069171978,0.385781449199261,1.5914066761865804,0.0,0.2801508324124695,0.0008316679110327294,1.5906622163411215,1.6297190391499776,1.7885416666666667
category,summarization,margin_aware_block_coalescing,coalesce_B4_m+0.00,15,0.4987952615689286,0.5081357829068227,1.995192629523645,0.0,0.16918101196837346,0.00026734233629506553,1.9948195168838136,2.0372581684807156,1.8041666666666667
category,summarization,margin_aware_block_coalescing,coalesce_B4_m+0.25,15,0.5394618797415607,0.5472939432851364,2.1713729135795137,0.01143880795425648,0.14036681564838968,0.00024187905227908015,2.1709781780710777,2.213829482005687,1.8041666666666667
category,summarization,margin_aware_block_coalescing,coalesce_B4_m-0.25,15,0.45935516185166014,0.47005942387292704,1.8496431102993796,0.0,0.20832098792230772,0.00029582747846892363,1.8492860455555413,1.8905842468642597,1.8041666666666667
category,summarization,margin_aware_block_coalescing,coalesce_B8_m+0.00,15,0.4205442158458205,0.4324345077938091,1.7257572145210025,0.0,0.2470039969631731,0.0007531070645566308,1.725061391720763,1.7643934460904815,1.8041666666666667
category,summarization,margin_aware_block_coalescing,coalesce_B8_m+0.25,15,0.46066837749109907,0.47158410877980345,1.8541467962663294,0.006004143193781961,0.21275636571129625,0.00067047924744689,1.853424481439251,1.8954551295846438,1.8041666666666667
category,summarization,margin_aware_block_coalescing,coalesce_B8_m-0.25,15,0.3811685398897268,0.3939788635146733,1.6159488721239288,0.0,0.286541000414705,0.0008231453656012468,1.615281200985884,1.6522250157476628,1.8041666666666667
length_bucket,"[1024,4096)",margin_aware_block_coalescing,coalesce_B4_m+0.00,15,0.5145101090614641,0.5148119151183831,2.059775123364211,0.0,0.1572383372099436,0.0005267676852918106,2.058926004823125,2.0615074980177996,1.8791666666666667
length_bucket,"[1024,4096)",margin_aware_block_coalescing,coalesce_B4_m+0.25,15,0.5496652717680103,0.5499840741159653,2.2205704719375996,0.010465154185256101,0.13087133648301003,0.0004774813724481142,2.2196697371377216,2.2229502869872055,1.8791666666666667
