trace_id,experiment_id,request_id,layer,kv_head,sequence_tokens,kept_tokens,removed_tokens,retention_ratio,cold_retention_ratio,score_mean,score_std,margin_abs_mean,near_threshold_0_10_fraction,near_threshold_0_25_fraction
kvzap-predictor-trace-20260818T030718Z::longbench__qasper__row000079,kvzap-predictor-trace-20260818T030718Z,longbench__qasper__row000079,0,0,3841,304,3537,0.07914605571465765,0.04740102343118772,-4.895669460296631,0.39168599247932434,0.918799638748169,0.026815933350689925,0.05233012236396772
kvzap-predictor-trace-20260818T030718Z::longbench__qasper__row000079,kvzap-predictor-trace-20260818T030718Z,longbench__qasper__row000079,0,1,3841,163,3678,0.04243686539963551,0.009426339886883921,-5.66816520690918,0.9222325682640076,1.6705162525177002,0.008851861494402499,0.028378026555584482
kvzap-predictor-trace-20260818T030718Z::longbench__qasper__row000079,kvzap-predictor-trace-20260818T030718Z,longbench__qasper__row000079,0,2,3841,128,3713,0.03332465503775059,0.0,-5.768818378448486,0.4294114112854004,1.7688183784484863,0.0002603488674824265,0.0015620932048945586
kvzap-predictor-trace-20260818T030718Z::longbench__qasper__row000079,kvzap-predictor-trace-20260818T030718Z,longbench__qasper__row000079,0,3,3841,252,3589,0.06560791460557147,0.033396175599245896,-5.248108386993408,0.7434861660003662,1.2765597105026245,0.026034886748242645,0.08148919552199949
kvzap-predictor-trace-20260818T030718Z::longbench__qasper__row000079,kvzap-predictor-trace-20260818T030718Z,longbench__qasper__row000079,0,4,3841,129,3712,0.03358500390523301,0.00026932399676811203,-5.74393892288208,0.5398639440536499,1.743971347808838,0.0007810466024472793,0.0013017443374121322
kvzap-predictor-trace-20260818T030718Z::longbench__qasper__row000079,kvzap-predictor-trace-20260818T030718Z,longbench__qasper__row000079,0,5,3841,133,3708,0.034626399375162716,0.00134661998384056,-5.62036657333374,0.5696755647659302,1.6226853132247925,0.000520697734964853,0.01093465243426191
kvzap-predictor-trace-20260818T030718Z::longbench__qasper__row000079,kvzap-predictor-trace-20260818T030718Z,longbench__qasper__row000079,0,6,3841,809,3032,0.210622233793283,0.1834096417990843,-5.278390407562256,0.9396905899047852,1.4111274480819702,0.036969539182504556,0.0945066388961208
kvzap-predictor-trace-20260818T030718Z::longbench__qasper__row000079,kvzap-predictor-trace-20260818T030718Z,longbench__qasper__row000079,0,7,3841,128,3713,0.03332465503775059,0.0,-6.109249114990234,0.5932790637016296,2.1092488765716553,0.0002603488674824265,0.0002603488674824265
kvzap-predictor-trace-20260818T030718Z::longbench__qasper__row000079,kvzap-predictor-trace-20260818T030718Z,longbench__qasper__row000079,1,0,3841,129,3712,0.03358500390523301,0.00026932399676811203,-6.043938159942627,0.5762568116188049,2.0440762042999268,0.0007810466024472793,0.002863837542306691
kvzap-predictor-trace-20260818T030718Z::longbench__qasper__row000079,kvzap-predictor-trace-20260818T030718Z,longbench__qasper__row000079,1,1,3841,143,3698,0.03722988804998698,0.004039859951521681,-5.541786193847656,0.43957552313804626,1.5434620380401611,0.003384535277271544,0.010153605831814632
kvzap-predictor-trace-20260818T030718Z::longbench__qasper__row000079,kvzap-predictor-trace-20260818T030718Z,longbench__qasper__row000079,1,2,3841,237,3604,0.06170268159333507,0.029356315647724212,-5.7943010330200195,0.895911693572998,1.8360198736190796,0.014058838844051028,0.033845352772715435
kvzap-predictor-trace-20260818T030718Z::longbench__qasper__row000079,kvzap-predictor-trace-20260818T030718Z,longbench__qasper__row000079,1,3,3841,161,3680,0.041916167664670656,0.008887691893347698,-5.518163204193115,0.5255852341651917,1.5264863967895508,0.0031241864097891173,0.010413954699297057
