trace_id,experiment_id,request_id,layer,left_kv_head,right_kv_head,drop_jaccard,keep_jaccard
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,0,0,1,0.9459459459459459,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,0,0,2,0.9716859716859717,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,0,0,3,0.9317010309278351,0.018518518518518517
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,0,0,4,0.9716859716859717,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,0,0,5,0.9856396866840731,0.5
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,0,0,6,0.7841059602649006,0.11891891891891893
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,0,0,7,0.9716859716859717,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,0,1,2,0.9742599742599742,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,0,1,3,0.9317889317889317,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,0,1,4,0.9742599742599742,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,0,1,5,0.9601029601029601,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,0,1,6,0.758800521512386,0.05128205128205128
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,0,1,7,0.9742599742599742,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,0,2,3,0.9575289575289575,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,0,2,4,1.0,1.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,0,2,5,0.9858429858429858,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,0,2,6,0.7619047619047619,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,0,2,7,1.0,1.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,0,3,4,0.9575289575289575,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,0,3,5,0.9433719433719434,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,0,3,6,0.7238709677419355,0.009259259259259259
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,0,3,7,0.9575289575289575,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,0,4,5,0.9858429858429858,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,0,4,6,0.7619047619047619,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,0,4,7,1.0,1.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,0,5,6,0.7728459530026109,0.05945945945945946
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,0,5,7,0.9858429858429858,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,0,6,7,0.7619047619047619,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,1,0,1,1.0,1.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,1,0,2,0.954954954954955,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,1,0,3,1.0,1.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,1,0,4,0.9794079794079794,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,1,0,5,0.9691119691119691,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,1,0,6,1.0,1.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,1,0,7,0.11711711711711711,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,1,1,2,0.954954954954955,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,1,1,3,1.0,1.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,1,1,4,0.9794079794079794,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,1,1,5,0.9691119691119691,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,1,1,6,1.0,1.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,1,1,7,0.11711711711711711,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,1,2,3,0.954954954954955,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,1,2,4,0.944372574385511,0.0851063829787234
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,1,2,5,0.9491525423728814,0.20408163265306123
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,1,2,6,0.954954954954955,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,1,2,7,0.12264150943396226,0.05102040816326531
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,1,3,4,0.9794079794079794,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,1,3,5,0.9691119691119691,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,1,3,6,1.0,1.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,1,3,7,0.11711711711711711,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,1,4,5,0.9485199485199485,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,1,4,6,0.9794079794079794,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,1,4,7,0.1122715404699739,0.015918958031837915
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,1,5,6,0.9691119691119691,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,1,5,7,0.10761154855643044,0.02158273381294964
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,1,6,7,0.11711711711711711,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,2,0,1,0.9691119691119691,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,2,0,2,0.9330759330759331,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,2,0,3,0.9665379665379665,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,2,0,4,0.9948519948519948,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,2,0,5,0.8983268983268984,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,2,0,6,0.9858429858429858,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,2,0,7,0.023166023166023165,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,2,1,2,0.9021879021879022,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,2,1,3,0.9789473684210527,0.5151515151515151
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,2,1,4,0.9664948453608248,0.037037037037037035
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,2,1,5,0.8698453608247423,0.00980392156862745
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,2,1,6,0.9701686121919585,0.20689655172413793
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,2,1,7,0.02390438247011952,0.03162055335968379
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,2,2,3,0.8996138996138996,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,2,2,4,0.9279279279279279,0.0
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,2,2,5,0.8337628865979382,0.007692307692307693
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,2,2,6,0.918918918918919,0.0
