trace_id,experiment_id,request_id,layer,left_kv_head,right_kv_head,drop_jaccard,expected_drop_jaccard_independent,drop_jaccard_excess,keep_jaccard,expected_keep_jaccard_independent,keep_jaccard_excess
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,0,0,1,0.9617444529456771,0.9620476760627289,-0.0003032231170517763,0.0,0.0040561718341886365,-0.0040561718341886365
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,0,0,2,0.9663351185921959,0.9663351185921959,0.0,0.0,0.0,0.0
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,0,0,3,0.9350249903883122,0.9280585850829036,0.006966405305408596,0.07142857142857142,0.018820180926378216,0.05260839050219321
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,0,0,4,0.9663351185921959,0.9663351185921959,0.0,0.0,0.0,0.0
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,0,0,5,0.9667049368541906,0.9659778823306271,0.0007270545235634751,0.011363636363636364,0.00037840022704012973,0.010985236136596235
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,0,0,6,0.8020914020139427,0.7912652758264189,0.010826126187523766,0.058931860036832415,0.029349524789171827,0.029582335247660588
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,0,0,7,0.9663351185921959,0.9663351185921959,0.0,0.0,0.0,0.0
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,0,1,2,0.9954093343534812,0.9954093343534812,0.0,0.0,0.0,0.0
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,0,1,3,0.956721562619686,0.9548432369514405,0.0018783256682455285,0.02586206896551724,0.00414485024953034,0.0217172187159869
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,0,1,4,0.9954093343534812,0.9954093343534812,0.0,0.0,0.0,0.0
