trace_id,experiment_id,request_id,block_size,block_count,all_drop_block_fraction,all_keep_block_fraction,mixed_block_fraction,logical_cold_retention,physical_cold_retention_exact_span,physical_cold_retention_padded,internal_fragmentation_exact_span,internal_fragmentation_padded,physical_compression_factor_exact_span,physical_compression_factor_padded
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,4,188352,0.5366813200815495,0.15432275739041795,0.3089959225280326,0.3046469863130154,0.4633304641673043,0.4636731701096659,0.3424844471202087,0.3429704241007483,2.047573857714028,2.0462050309380926
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,8,94176,0.4689623683316344,0.10335966700645599,0.4276779646619096,0.3046469863130154,0.5310109028309105,0.5314439343704838,0.4262886417418364,0.4267561136549959,1.8086325596734962,1.807283179845841
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,16,47232,0.40671578590785906,0.07027015582655827,0.5230140582655827,0.3046469863130154,0.5933886976111536,0.5955538553090198,0.48659792891328385,0.48846442081221897,1.6330001282088398,1.6275143441271516
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,32,23616,0.34849254742547425,0.04704437669376694,0.6044630758807588,0.3046469863130154,0.6514228938196038,0.6539998299753464,0.5323360766049771,0.5341787989080983,1.497690014337842,1.4921997823195066
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T070949Z,longbench__qasper__row000042,4,186336,0.5311909668555728,0.16031255366649494,0.30849647947793235,0.3126261650130997,0.46881174032555945,0.4689902503972856,0.33315201365050917,0.33340583360043957,2.024886379821574,2.02418920598103
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T070949Z,longbench__qasper__row000042,8,93312,0.46756044238683125,0.10815329218106996,0.42428626543209874,0.3126261650130997,0.5325760748185371,0.5334686251771679,0.4129924722592547,0.41397459895738986,1.8030590573786558,1.800298391998674
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T070949Z,longbench__qasper__row000042,16,46656,0.4070859053497942,0.07160922496570644,0.5213048696844993,0.3126261650130997,0.5928722136322638,0.5940600438087875,0.4726921622826975,0.47374652062321515,1.6338095267945014,1.6307938732605867
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T070949Z,longbench__qasper__row000042,32,23328,0.3510373799725652,0.047496570644718794,0.6014660493827161,0.3126261650130997,0.648753919168492,0.6502168964480523,0.5181128687225618,0.5191971068102252,1.5030506206965488,1.4999079246209563
kvzap-predictor-trace-20260818T071553Z::longbench__qasper__row000079,kvzap-predictor-trace-20260818T071553Z,longbench__qasper__row000079,4,267552,0.5311229218992943,0.16225630905394092,0.3066207690467647,0.31159009635814106,0.46892487356734597,0.46925591764670677,0.3355223535324125,0.33599111989732877,2.054979881331436,2.0536293766011955
kvzap-predictor-trace-20260818T071553Z::longbench__qasper__row000079,kvzap-predictor-trace-20260818T071553Z,longbench__qasper__row000079,8,133920,0.46363500597371565,0.10998357228195937,0.426381421744325,0.31159009635814106,0.5366037495885327,0.537376185773708,0.41932926000411286,0.4201639287205903,1.811442364060929,1.808995525785604
