trace_id,request_id,category,task,length_bucket,policy_family,policy_id,block_size,margin,logical_removed_fraction,logical_compression_factor,cold_removed_fraction,newly_dropped_fraction,recovered_keep_fraction,mixed_block_fraction,physical_compression_factor_padded,score_margin_abs_p50,logical_total
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,longbench__qasper__row000037,retrieval,qasper,"[1024,4096)",margin_aware_block_coalescing,coalesce_B4_m-0.25,4,-0.25,0.4775837790744793,1.9141825233305054,0.5009696718524186,0.0,0.19438334183456601,0.000748598369011213,1.912874970932486,1.875,789696
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,longbench__qasper__row000037,retrieval,qasper,"[1024,4096)",margin_aware_block_coalescing,coalesce_B4_m+0.00,4,0.0,0.5116171286165816,2.047573857714028,0.5366695358326957,0.0,0.15868347785428888,0.000684887869520897,2.0462050309380926,1.875,789696
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,longbench__qasper__row000037,retrieval,qasper,"[1024,4096)",margin_aware_block_coalescing,coalesce_B4_m+0.25,4,0.25,0.5470282235189238,2.207643062816248,0.5738146093683584,0.010536215251211426,0.13207461956983763,0.0006105589534488617,2.2062245069005977,1.875,789696
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,longbench__qasper__row000037,retrieval,qasper,"[1024,4096)",margin_aware_block_coalescing,coalesce_B8_m-0.25,8,-0.25,0.41202184131615205,1.700743446386575,0.4321973561166369,0.0,0.2631556575703477,0.0018900781515460415,1.6994404751657055,1.875,789696
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,longbench__qasper__row000037,retrieval,qasper,"[1024,4096)",margin_aware_block_coalescing,coalesce_B8_m+0.00,8,0.0,0.4470960977388767,1.8086325596734962,0.46898909716908954,0.0,0.2263639165178951,0.0017308019028202514,1.807283179845841,1.875,789696
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,longbench__qasper__row000037,retrieval,qasper,"[1024,4096)",margin_aware_block_coalescing,coalesce_B8_m+0.25,8,0.25,0.48283136802009885,1.933605284937048,0.5064742200119017,0.005590888803876562,0.19446968247895946,0.0015396704043493035,1.9322332491631922,1.875,789696
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,longbench__qasper__row000042,retrieval,qasper,"[1024,4096)",margin_aware_block_coalescing,coalesce_B4_m-0.25,4,-0.25,0.4717605381624719,1.8930808321692036,0.4951023815659494,0.0,0.19227145342095092,0.0007674308775545252,1.892425650557621,1.859375,781920
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,longbench__qasper__row000042,retrieval,qasper,"[1024,4096)",margin_aware_block_coalescing,coalesce_B4_m+0.00,4,0.0,0.5061451299365664,2.024886379821574,0.5311882596744406,0.0,0.15618557531245975,0.0007137643826206423,2.02418920598103,1.859375,781920
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,longbench__qasper__row000042,retrieval,qasper,"[1024,4096)",margin_aware_block_coalescing,coalesce_B4_m+0.25,4,0.25,0.5417267751176591,2.182104355445912,0.5685304191899669,0.010730737018425461,0.12957415281535883,0.0006386312897132063,2.1813799337149744,1.859375,781920
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,longbench__qasper__row000042,retrieval,qasper,"[1024,4096)",margin_aware_block_coalescing,coalesce_B8_m-0.25,8,-0.25,0.4104703806015961,1.6962676125085419,0.43077969978095604,0.0,0.25659413520594426,0.0015324931412894376,1.693640616877491,1.859375,781920
